year,border,type,volume_GWh,is_estimate,notes,source
2001,Bulgaria,import,3775.5,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2001,Georgia,import,523.0,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2001,Turkmenistan-(Iran),import,280.9,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2002,Azerbaijan,export,435.1,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2002,Bulgaria,import,3445.4,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2002,Georgia,import,92.7,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2002,Turkmenistan-(Iran),import,50.1,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2003,Azerbaijan,export,401.6,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2003,Iraq,export,186.0,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2003,Bulgaria,import,1134.5,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2003,Turkmenistan-(Iran),import,23.5,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2004,Azerbaijan,export,378.7,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2004,Iraq,export,765.6,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2004,Turkmenistan-(Iran),import,463.5,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2005,Azerbaijan,export,384.1,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2005,Georgia,export,9.3,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2005,Iraq,export,1404.7,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2005,Georgia,import,101.1,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2005,Turkmenistan-(Iran),import,534.8,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2006,Azerbaijan,export,325.7,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2006,Georgia,export,106.7,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2006,Iraq,export,1668.8,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2006,Syria,export,134.5,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2006,Georgia,import,40.5,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2006,Turkmenistan-(Iran),import,532.7,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2007,Azerbaijan,export,14.933,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2007,Georgia,export,117.508,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2007,Greece,export,90.225,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2007,Iraq,export,1237.176,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2007,Syria,export,962.375,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2007,Azerbaijan,import,15.318,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2007,Georgia,import,215.61,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2007,Turkmenistan-(Iran),import,633.402,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2008,Azerbaijan,export,0.023,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2008,Georgia,export,54.292,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2008,Greece,export,58.945,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2008,Iraq,export,911.588,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2008,Syria,export,97.33,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2008,Azerbaijan,import,93.971,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2008,Georgia,import,215.541,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2008,Greece,import,29.876,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2008,Turkmenistan-(Iran),import,450.05,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2009,Azerbaijan,export,0.1,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2009,Iraq,export,1215.0,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2009,Syria,export,330.7,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2009,Azerbaijan,import,125.34,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2009,Georgia,import,182.14,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2009,Turkmenistan-(Iran),import,504.5,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2010,Azerbaijan,export,0.343,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2010,Iraq,export,1288.05,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2010,Syria,export,629.141,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2010,Turkmenistan-(Iran),export,0.038,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2010,Azerbaijan,import,156.012,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2010,Georgia,import,303.227,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2010,Turkmenistan-(Iran),import,684.571,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2011,Azerbaijan,export,19.42,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2011,Bulgaria,export,621.771,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2011,Greece,export,1790.287,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2011,Iraq,export,42.49,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2011,Syria,export,1170.637,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2011,Azerbaijan,import,329.903,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2011,Bulgaria,import,2094.1,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2011,Georgia,import,218.54,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2011,Greece,import,838.708,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2011,Turkmenistan-(Iran),import,1074.553,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2012,Azerbaijan,export,12.869,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2012,Bulgaria,export,1.699,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2012,Greece,export,1704.93,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2012,Syria,export,1234.062,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2012,Azerbaijan,import,277.428,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2012,Bulgaria,import,3966.762,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2012,Georgia,import,79.011,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2012,Greece,import,3.705,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2012,Turkmenistan-(Iran),import,1499.749,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2013,Azerbaijan,export,0.23,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2013,Bulgaria,export,0.18,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2013,Georgia,export,0.059,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2013,Greece,export,804.658,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2013,Iraq,export,421.596,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2013,Azerbaijan,import,276.666,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2013,Bulgaria,import,4571.203,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2013,Georgia,import,3.334,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2013,Greece,import,173.158,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2013,Turkmenistan-(Iran),import,2405.034,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2014,Azerbaijan,export,0.076,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2014,Bulgaria,export,0.215,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2014,Georgia,export,0.879,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2014,Greece,export,1909.405,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2014,Iraq,export,785.402,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2014,Azerbaijan,import,102.661,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2014,Bulgaria,import,5300.692,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2014,Georgia,import,293.878,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2014,Greece,import,4.043,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2014,Turkmenistan-(Iran),import,2252.032,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2015,Azerbaijan,export,0.002,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2015,Bulgaria,export,1.93,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2015,Georgia,export,2.151,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2015,Greece,export,2818.615,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2015,Turkmenistan-(Iran),export,371.758,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2015,Azerbaijan,import,0.003,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2015,Bulgaria,import,4841.986,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2015,Georgia,import,417.454,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2015,Greece,import,8.367,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2015,Turkmenistan-(Iran),import,1867.695,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2016,Bulgaria,export,3.149,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2016,Georgia,export,0.0,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2016,Greece,export,1444.291,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2016,Syria,export,4.256,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2016,Bulgaria,import,4586.958,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2016,Georgia,import,1039.293,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2016,Greece,import,68.288,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2016,Turkmenistan-(Iran),import,635.795,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2017,Bulgaria,export,98.005,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2017,Georgia,export,0.759,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2017,Greece,export,3204.909,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2017,Bulgaria,import,2072.993,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2017,Georgia,import,493.948,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2017,Greece,import,0.479,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2017,Turkmenistan-(Iran),import,160.849,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2018,Bulgaria,export,89.565,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2018,Georgia,export,105.927,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2018,Greece,export,2911.969,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2018,Syria,export,4.417,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2018,Bulgaria,import,2051.283,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2018,Georgia,import,414.928,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2018,Greece,import,10.676,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2019,Bulgaria,export,120.704,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2019,Georgia,export,0.212,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2019,Greece,export,2667.751,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2019,Bulgaria,import,1960.629,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2019,Georgia,import,247.023,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2019,Greece,import,3.854,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2020,Bulgaria,export,325.987,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2020,Georgia,export,314.962,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2020,Greece,export,1841.11,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2020,Syria,export,1.584,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2020,Bulgaria,import,1689.5,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2020,Georgia,import,169.887,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2020,Greece,import,30.134,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2021,Bulgaria,export,260.24,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2021,Georgia,export,162.452,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2021,Greece,export,2912.232,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2021,Iraq,export,642.01,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2021,Syria,export,209.45,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2021,Bulgaria,import,1059.227,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2021,Georgia,import,1254.945,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2021,Greece,import,20.281,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2022,Azerbaijan,export,151.178,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2022,Bulgaria,export,126.37,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2022,Georgia,export,0.034,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2022,Greece,export,2966.308,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2022,Syria,export,469.073,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2022,Bulgaria,import,2284.808,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2022,Georgia,import,3980.793,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2022,Greece,import,21.651,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2022,Turkmenistan-(Iran),import,151.564,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2023,Bulgaria,export,405.801,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2023,Georgia,export,0.053,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2023,Greece,export,1132.604,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2023,Syria,export,537.32,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2023,Bulgaria,import,1284.495,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2023,Georgia,import,4702.855,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2023,Greece,import,107.013,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2023,Syria,import,0.054,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2024,Bulgaria,export,1041.664,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2024,Georgia,export,2.34,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2024,Greece,export,710.889,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2024,Iraq,export,1152.805,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2024,Syria,export,764.244,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2024,Bulgaria,import,538.262,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2024,Georgia,import,1925.714,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2024,Greece,import,217.544,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2024,Syria,import,0.057,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
