year,border,type,volume_GWh,is_estimate,notes,source
1975,Bulgaria,import,96.2,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
1976,Bulgaria,import,332.2,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
1977,Bulgaria,import,492.2,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
1978,Bulgaria,import,621.0,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
1979,Bulgaria,import,653.6,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
1979,USSR,import,390.7,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
1980,Bulgaria,import,750.3,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
1980,USSR,import,590.9,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
1981,Bulgaria,import,971.3,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
1981,USSR,import,644.8,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
1982,Bulgaria,import,1175.2,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
1982,USSR,import,598.2,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
1983,Bulgaria,import,1520.2,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
1983,USSR,import,700.6,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
1984,Bulgaria,import,1981.1,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
1984,USSR,import,671.9,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
1985,Bulgaria,import,1476.9,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
1985,USSR,import,665.5,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
1986,Bulgaria,import,58.4,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
1986,USSR,import,718.2,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
1987,USSR,import,572.1,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
1988,USSR,import,381.2,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
1989,USSR,import,558.5,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
1990,Georgia,export,121.8,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
1990,Bulgaria,import,0.2,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
1990,Former-USSR,import,53.5,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
1990,Georgia,import,121.8,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
1991,Azerbaijan,export,0.01,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
1991,Georgia,export,244.9,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
1991,Bulgaria,import,568.3,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
1991,Georgia,import,191.0,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
1992,Azerbaijan,export,12.8,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
1992,Georgia,export,301.4,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
1992,Georgia,import,188.8,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
1993,Azerbaijan,export,309.0,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
1993,Georgia,export,279.7,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
1993,Azerbaijan,import,200.0,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
1993,Georgia,import,12.9,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
1994,Azerbaijan,export,346.5,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
1994,Georgia,export,201.8,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
1994,Iraq,export,21.8,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
1994,Georgia,import,31.4,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
1995,Azerbaijan,export,494.7,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
1995,Georgia,export,178.3,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
1995,Iraq,export,22.9,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
1996,Azerbaijan,export,271.3,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
1996,Georgia,export,71.8,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
1996,Azerbaijan,import,173.8,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
1996,Bulgaria,import,25.6,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
1996,Georgia,import,16.0,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
1996,Iran,import,54.6,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
1997,Azerbaijan,export,271.0,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
1997,Bulgaria,import,1863.1,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
1997,Georgia,import,459.4,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
1997,Iran,import,169.8,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
1998,Azerbaijan,export,298.2,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
1998,Bulgaria,import,2317.0,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
1998,Georgia,import,779.3,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
1998,Iran,import,202.2,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
1999,Azerbaijan,export,285.3,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
1999,Bulgaria,import,1798.4,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
1999,Georgia,import,239.2,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
1999,Iran,import,292.7,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2000,Azerbaijan,export,437.3,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2000,Bulgaria,import,3296.9,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2000,Georgia,import,204.7,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2000,Iran,import,289.7,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
2001,Azerbaijan,export,432.8,0,,TEİAŞ - Türkiye Elektrik Üretim-İletim İstatistikleri (official)
